"","C245PW0","childid"
"394",181.37,"0029022C"
"395",NA,"0029023C"
"396",NA,"0029024C"
"397",NA,"0032001C"
"398",0,"0032002C"
"399",NA,"0032003C"
"400",NA,"0032004C"
"401",317.93,"0032006C"
"402",NA,"0032007C"
"403",272.13,"0032008C"
"404",NA,"0032009C"
"405",NA,"0032010C"
"406",513.81,"0032011C"
"407",NA,"0032012C"
"408",330.24,"0032013C"
"409",NA,"0032014C"
"410",NA,"0032015C"
"411",0,"0032016C"
"412",0,"0032017C"
"413",NA,"0032018C"
"414",513.81,"0032019C"
"415",NA,"0032020C"
"416",NA,"0032021C"
"417",335.51,"0032022C"
"418",NA,"0032023C"
"419",319.12,"0032024C"
"420",NA,"0032025C"
"421",65.26,"0033001C"
"422",NA,"0033002C"
"423",243.6,"0033003C"
"424",NA,"0033004C"
"425",255.45,"0033005C"
"426",249.35,"0033006C"
"427",269.42,"0033007C"
"428",249.35,"0033008C"
"429",244.17,"0033009C"
"430",NA,"0033010C"
"431",370.74,"0033011C"
"432",295.39,"0033012C"
"433",443.24,"0033013C"
"434",370.74,"0033014C"
"435",234.63,"0033015C"
"436",249.35,"0033016C"
"437",250.16,"0033017C"
"438",250.16,"0033018C"
"439",249.35,"0033020C"
"440",249.35,"0033021C"
"441",269.42,"0033022C"
"442",269.42,"0033024C"
"443",NA,"0034001C"
"444",250.33,"0034002C"
"445",0,"0034003C"
"446",0,"0034004C"
"447",0,"0034005C"
"448",265.22,"0034006C"
"449",0,"0034007C"
"450",NA,"0034008C"
"451",0,"0034009C"
"452",NA,"0034010C"
"453",NA,"0034011C"
"454",202.86,"0034012C"
"455",306.18,"0034013C"
"456",NA,"0034014C"
"457",0,"0034015C"
"458",248.98,"0034016C"
"459",207.16,"0034017C"
"460",278.42,"0034018C"
"461",NA,"0034019C"
"462",NA,"0034020C"
"463",NA,"0034021C"
"464",277.15,"0034022C"
"465",223.21,"0034023C"
"466",NA,"0034024C"
"467",NA,"0034025C"
"468",NA,"0035001C"
"469",400.11,"0035002C"
"470",349.98,"0035003C"
"471",NA,"0035004C"
"472",343.11,"0035005C"
"473",214.2,"0035006C"
"474",NA,"0035007C"
"475",389.68,"0035008C"
"476",546.66,"0035009C"
"477",0,"0035010C"
"478",435.72,"0035011C"
"479",274.68,"0035012C"
"480",0,"0036001C"
"481",0,"0036002C"
"482",0,"0036003C"
"483",0,"0036004C"
"484",0,"0036005C"
"485",517.38,"0036006C"
"486",116.69,"0036007C"
"487",590.64,"0036008C"
"488",568.91,"0036009C"
"489",187.98,"0036010C"
"490",500.79,"0036011C"
"491",568.23,"0036012C"
"492",535.28,"0036013C"
"493",535.28,"0036014C"
"494",0,"0036015C"
"495",0,"0036016C"
"496",0,"0036017C"
"497",569.42,"0036018C"
"498",472.5,"0036019C"
"499",0,"0036020C"
"500",659.05,"0036021C"
"501",0,"0036022C"
"502",177.58,"0036023C"
"503",0,"0036024C"
"504",NA,"0036040C"
"505",0,"0037001C"
"506",0,"0037002C"
"507",0,"0037003C"
"508",237.61,"0037004C"
"509",180.09,"0037005C"
"510",848.56,"0037006C"
"511",0,"0037007C"
"512",0,"0037008C"
"513",NA,"0037009C"
"514",0,"0037010C"
"515",166.74,"0037011C"
"516",214.08,"0037012C"
"517",0,"0037013C"
"518",0,"0037014C"
"519",NA,"0037015C"
"520",171.35,"0037016C"
"521",0,"0037017C"
"522",169.06,"0037018C"
"523",0,"0037019C"
"524",800.34,"0037020C"
"525",207.65,"0037021C"
"526",NA,"0037022C"
"527",0,"0037023C"
"528",618.12,"0037024C"
"529",848.56,"0037025C"
"530",NA,"0037040C"
"531",NA,"0037042C"
"532",NA,"0037043C"
"533",NA,"0037044C"
"534",NA,"0038001C"
"535",NA,"0038002C"
"536",913.61,"0038003C"
"537",641.84,"0038004C"
"538",NA,"0038005C"
"539",NA,"0038007C"
"540",0,"0038008C"
"541",0,"0038009C"
"542",641.91,"0038010C"
"543",NA,"0038011C"
"544",579.92,"0038012C"
"545",NA,"0038013C"
"546",NA,"0038014C"
"547",965.92,"0038015C"
"548",579.92,"0038016C"
"549",653.41,"0038017C"
"550",653.17,"0038018C"
"551",0,"0038019C"
"552",689.2,"0038020C"
"553",NA,"0038021C"
"554",1187.88,"0038022C"
"555",1150.55,"0038023C"
"556",0,"0038024C"
"557",397.07,"0039001C"
"558",387.56,"0039002C"
"559",395.79,"0039003C"
"560",185.34,"0039004C"
"561",397.07,"0039005C"
"562",444.35,"0039006C"
"563",460.92,"0039007C"
"564",138,"0039008C"
"565",0,"0039010C"
"566",0,"0039011C"
"567",444.35,"0039012C"
"568",397.07,"0039013C"
"569",397.07,"0039014C"
"570",501.65,"0039015C"
"571",387.56,"0039016C"
"572",433.7,"0039017C"
"573",433.7,"0039018C"
"574",137.55,"0039019C"
"575",0,"0039020C"
"576",142.81,"0039021C"
"577",491.22,"0039022C"
"578",0,"0039023C"
"579",395.79,"0039024C"
"580",NA,"0040001C"
"581",0,"0040002C"
"582",NA,"0040003C"
"583",0,"0040004C"
"584",490.69,"0040005C"
"585",220,"0040007C"
"586",NA,"0040008C"
"587",199.09,"0040009C"
