"","C245PW0","childid"
"8962",172.77,"0623007C"
"8963",112.5,"0623008C"
"8964",NA,"0623009C"
"8965",116.8,"0623010C"
"8966",NA,"0623011C"
"8967",NA,"0623012C"
"8968",NA,"0623013C"
"8969",110.16,"0623014C"
"8970",112.5,"0623015C"
"8971",NA,"0623016C"
"8972",NA,"0623017C"
"8973",NA,"0623018C"
"8974",NA,"0623019C"
"8975",165.46,"0623020C"
"8976",116.8,"0623021C"
"8977",NA,"0623022C"
"8978",0,"0625001C"
"8979",269.09,"0625002C"
"8980",326.95,"0625003C"
"8981",752.68,"0625004C"
"8982",713.45,"0625005C"
"8983",285.98,"0625006C"
"8984",0,"0625007C"
"8985",324.86,"0625008C"
"8986",286.51,"0625009C"
"8987",294.03,"0625010C"
"8988",272.52,"0625011C"
"8989",0,"0625012C"
"8990",269.09,"0625013C"
"8991",0,"0625014C"
"8992",263.5,"0625015C"
"8993",291.41,"0625016C"
"8994",292.6,"0625017C"
"8995",0,"0625018C"
"8996",298.57,"0625019C"
"8997",270.99,"0625020C"
"8998",269.09,"0625021C"
"8999",752.68,"0625022C"
"9000",220.6,"0625023C"
"9001",164.04,"0626001C"
"9002",547.01,"0626002C"
"9003",222.12,"0626003C"
"9004",400.32,"0626004C"
"9005",151.36,"0626005C"
"9006",567.9,"0626006C"
"9007",567.9,"0626007C"
"9008",142.76,"0626008C"
"9009",441.69,"0626009C"
"9010",567.9,"0626010C"
"9011",0,"0626011C"
"9012",132.13,"0626012C"
"9013",514.71,"0626013C"
"9014",626.64,"0626014C"
"9015",124.32,"0626015C"
"9016",146.26,"0626016C"
"9017",129.38,"0626017C"
"9018",132.13,"0626018C"
"9019",129.07,"0626019C"
"9020",392,"0626020C"
"9021",425.44,"0626021C"
"9022",548.78,"0626022C"
"9023",142.76,"0626023C"
"9024",132.13,"0626024C"
"9025",464.71,"0627001C"
"9026",0,"0627002C"
"9027",417.02,"0627003C"
"9028",424.72,"0627004C"
"9029",371.05,"0627005C"
"9030",937.02,"0627006C"
"9031",400.58,"0627007C"
"9032",0,"0627008C"
"9033",522.92,"0627009C"
"9034",474.58,"0627010C"
"9035",450.14,"0627011C"
"9036",1104.71,"0627012C"
"9037",874.48,"0627013C"
"9038",431.55,"0627014C"
"9039",363.34,"0627015C"
"9040",419.92,"0627016C"
"9041",376.93,"0627017C"
"9042",451.4,"0627018C"
"9043",464.71,"0627019C"
"9044",390.45,"0627021C"
"9045",0,"0627022C"
"9046",409.09,"0627023C"
"9047",411.97,"0627024C"
"9048",174.15,"0629001C"
"9049",781.15,"0629002C"
"9050",422.92,"0629003C"
"9051",NA,"0629005C"
"9052",383.39,"0629006C"
"9053",346.53,"0629007C"
"9054",976.77,"0629008C"
"9055",346.43,"0629010C"
"9056",0,"0629011C"
"9057",348.97,"0629012C"
"9058",390.66,"0629013C"
"9059",319.29,"0629014C"
"9060",851.76,"0629015C"
"9061",0,"0629016C"
"9062",327.12,"0629017C"
"9063",813.46,"0629018C"
"9064",0,"0629019C"
"9065",0,"0629020C"
"9066",0,"0629021C"
"9067",346.53,"0629022C"
"9068",421.55,"0629023C"
"9069",1060.95,"0629024C"
"9070",341.62,"0630001C"
"9071",318.63,"0630002C"
"9072",329.73,"0630003C"
"9073",760.86,"0630004C"
"9074",337.53,"0630005C"
"9075",321.62,"0630006C"
"9076",364.69,"0630007C"
"9077",310.99,"0630008C"
"9078",372.43,"0630009C"
"9079",347.03,"0630010C"
"9080",317.6,"0630011C"
"9081",280.11,"0630012C"
"9082",801.5,"0630013C"
"9083",330.51,"0630014C"
"9084",321.62,"0630015C"
"9085",338.62,"0630016C"
"9086",385.89,"0630017C"
"9087",377.86,"0630018C"
"9088",816.5,"0630019C"
"9089",337.53,"0630020C"
"9090",303.34,"0630021C"
"9091",321.62,"0630022C"
"9092",310.99,"0630023C"
"9093",364.66,"0630024C"
"9094",NA,"0631001C"
"9095",NA,"0631002C"
"9096",NA,"0631003C"
"9097",340.63,"0631004C"
"9098",0,"0631005C"
"9099",472.22,"0631006C"
"9100",NA,"0631007C"
"9101",NA,"0631008C"
"9102",0,"0631009C"
"9103",0,"0631010C"
"9104",NA,"0631011C"
"9105",NA,"0631012C"
"9106",NA,"0631013C"
"9107",NA,"0631014C"
"9108",455.34,"0631015C"
"9109",360.72,"0631016C"
"9110",NA,"0631017C"
"9111",0,"0631018C"
"9112",NA,"0631019C"
"9113",0,"0631020C"
"9114",416.47,"0631021C"
"9115",NA,"0631022C"
"9116",NA,"0631023C"
"9117",NA,"0631024C"
"9118",NA,"0632001C"
"9119",NA,"0632002C"
"9120",0,"0632003C"
"9121",0,"0632004C"
"9122",NA,"0632005C"
"9123",458.99,"0632006C"
"9124",587.77,"0632007C"
"9125",NA,"0632008C"
"9126",434.08,"0632009C"
"9127",NA,"0632010C"
"9128",509.02,"0632011C"
"9129",458.99,"0632012C"
"9130",524.04,"0632013C"
"9131",NA,"0632015C"
"9132",NA,"0632016C"
"9133",471.99,"0632017C"
"9134",NA,"0632018C"
"9135",0,"0632019C"
"9136",NA,"0632020C"
"9137",0,"0632021C"
"9138",NA,"0632022C"
"9139",NA,"0632023C"
"9140",521.22,"0632024C"
"9141",0,"0633001C"
"9142",931.47,"0633002C"
"9143",378.35,"0633003C"
"9144",446.34,"0633004C"
"9145",1024.2,"0633005C"
"9146",369.44,"0633006C"
"9147",0,"0633007C"
"9148",413.21,"0633008C"
"9149",444.9,"0633009C"
"9150",951.25,"0633010C"
"9151",324.82,"0633011C"
"9152",324.82,"0633012C"
"9153",1027.52,"0633013C"
"9154",951.25,"0633014C"
"9155",1002.9,"0633015C"
"9156",0,"0633016C"
"9157",356.85,"0633017C"
"9158",384.22,"0633018C"
"9159",0,"0633019C"
"9160",1002.9,"0633020C"
"9161",0,"0633021C"
"9162",376.11,"0633022C"
"9163",0,"0633023C"
"9164",435.65,"0633024C"
"9165",0,"0635001C"
"9166",0,"0635002C"
"9167",0,"0635003C"
"9168",0,"0635005C"
"9169",216.98,"0635006C"
"9170",168.51,"0635007C"
"9171",769.77,"0635008C"
"9172",174.39,"0635009C"
"9173",164.48,"0635010C"
"9174",164.48,"0635011C"
"9175",232.4,"0635012C"
"9176",164.48,"0635013C"
"9177",174.39,"0635014C"
"9178",167.97,"0635015C"
"9179",0,"0635016C"
"9180",578.49,"0635017C"
"9181",627.84,"0635018C"
"9182",174.39,"0635019C"
"9183",590.77,"0635020C"
"9184",167.97,"0635021C"
"9185",164.48,"0635022C"
"9186",167.97,"0635023C"
"9187",164.48,"0635024C"
"9188",590.77,"0635025C"
"9189",164.48,"0635026C"
"9190",0,"0636001C"
"9191",0,"0636002C"
"9192",0,"0636003C"
"9193",0,"0636004C"
"9194",0,"0636005C"
"9195",0,"0636006C"
"9196",0,"0636007C"
"9197",0,"0636008C"
"9198",1047.29,"0636009C"
"9199",0,"0636010C"
"9200",0,"0636011C"
"9201",0,"0636012C"
"9202",1241.39,"0636013C"
"9203",0,"0636014C"
"9204",351.05,"0636015C"
"9205",0,"0636016C"
"9206",0,"0636017C"
"9207",1189.28,"0636018C"
"9208",1284.63,"0636019C"
"9209",NA,"0636020C"
"9210",0,"0636021C"
"9211",0,"0636022C"
"9212",0,"0636023C"
"9213",0,"0636024C"
"9214",NA,"0638001C"
"9215",NA,"0638002C"
"9216",NA,"0638003C"
"9217",NA,"0638004C"
"9218",NA,"0638005C"
"9219",NA,"0638006C"
"9220",NA,"0638007C"
"9221",0,"0638008C"
"9222",NA,"0638009C"
"9223",NA,"0638010C"
"9224",NA,"0638011C"
"9225",190.5,"0638012C"
"9226",222.06,"0638013C"
"9227",NA,"0638014C"
"9228",NA,"0638015C"
"9229",NA,"0638016C"
"9230",NA,"0638017C"
"9231",222.06,"0638018C"
"9232",NA,"0638019C"
"9233",300.18,"0638020C"
"9234",NA,"0638021C"
"9235",NA,"0638022C"
"9236",NA,"0638023C"
"9237",185.87,"0639001C"
"9238",NA,"0639002C"
"9239",234.1,"0639003C"
"9240",NA,"0639004C"
"9241",NA,"0639005C"
"9242",185.87,"0639006C"
"9243",NA,"0639007C"
"9244",255.76,"0639008C"
"9245",189.81,"0639009C"
"9246",NA,"0639010C"
"9247",NA,"0639011C"
"9248",0,"0639012C"
"9249",NA,"0639013C"
"9250",NA,"0639014C"
"9251",NA,"0639015C"
"9252",178.61,"0639016C"
"9253",NA,"0639017C"
"9254",NA,"0639018C"
"9255",NA,"0639019C"
"9256",264.7,"0639020C"
"9257",NA,"0639021C"
"9258",NA,"0639022C"
"9259",189.81,"0639024C"
"9260",0,"0642001C"
"9261",NA,"0642002C"
"9262",254.72,"0642003C"
"9263",235.75,"0642006C"
"9264",NA,"0642007C"
"9265",317.66,"0642008C"
"9266",NA,"0642010C"
"9267",273.49,"0642012C"
"9268",254.72,"0642013C"
"9269",260.13,"0642014C"
"9270",NA,"0642015C"
"9271",217.22,"0642016C"
"9272",221.83,"0642017C"
"9273",0,"0642018C"
"9274",279.27,"0642019C"
"9275",NA,"0642020C"
"9276",NA,"0642021C"
"9277",NA,"0642022C"
"9278",NA,"0642023C"
"9279",NA,"0642024C"
"9280",702.1,"0643001C"
"9281",869.5,"0643002C"
"9282",662.2,"0643003C"
"9283",924.06,"0643004C"
"9284",872.32,"0643005C"
"9285",218.04,"0643006C"
"9286",210.02,"0643007C"
"9287",904.84,"0643008C"
"9288",676.27,"0643009C"
"9289",205.65,"0643010C"
"9290",210.02,"0643011C"
"9291",1019.63,"0643012C"
"9292",1077.01,"0643013C"
"9293",218.56,"0643014C"
"9294",0,"0643015C"
"9295",662.2,"0643016C"
"9296",936.44,"0643017C"
"9297",662.2,"0643018C"
"9298",869.5,"0643019C"
"9299",0,"0643020C"
"9300",851.42,"0643021C"
"9301",312.04,"0643022C"
"9302",0,"0643023C"
"9303",676.27,"0643024C"
"9304",225.34,"0644002C"
"9305",0,"0644003C"
"9306",0,"0644004C"
"9307",948.42,"0644005C"
"9308",0,"0644006C"
"9309",0,"0644007C"
"9310",0,"0644008C"
"9311",255.24,"0644009C"
"9312",0,"0644010C"
"9313",230.12,"0644011C"
"9314",406.73,"0644012C"
"9315",0,"0644013C"
"9316",NA,"0644014C"
"9317",216.54,"0644015C"
"9318",0,"0644016C"
"9319",998.22,"0644017C"
"9320",0,"0644018C"
"9321",342.15,"0644019C"
"9322",0,"0644020C"
"9323",0,"0644021C"
"9324",312.07,"0644022C"
"9325",0,"0644023C"
"9326",0,"0644024C"
"9327",0,"0644025C"
"9328",0,"0645001C"
"9329",0,"0645002C"
"9330",0,"0645003C"
"9331",0,"0645004C"
"9332",0,"0645005C"
"9333",0,"0645006C"
"9334",0,"0645007C"
"9335",0,"0645008C"
"9336",855.83,"0645009C"
"9337",197.98,"0645010C"
"9338",374.29,"0645011C"
"9339",779,"0645012C"
"9340",305.77,"0645013C"
"9341",221.49,"0645014C"
"9342",0,"0645015C"
"9343",248.5,"0645016C"
"9344",0,"0645017C"
"9345",0,"0645018C"
"9346",0,"0645019C"
"9347",903.69,"0645020C"
"9348",311.84,"0645021C"
"9349",944.08,"0645022C"
"9350",0,"0645023C"
"9351",277.78,"0645024C"
"9352",NA,"0646002C"
"9353",NA,"0646006C"
"9354",240.66,"0646007C"
"9355",266.42,"0646008C"
"9356",NA,"0646009C"
"9357",NA,"0646010C"
"9358",NA,"0646011C"
"9359",240.66,"0646012C"
"9360",249.86,"0646013C"
"9361",NA,"0646014C"
"9362",NA,"0646015C"
"9363",NA,"0646016C"
"9364",NA,"0646017C"
"9365",NA,"0646018C"
"9366",NA,"0646019C"
"9367",0,"0646021C"
"9368",227.19,"0646022C"
"9369",NA,"0646023C"
"9370",NA,"0646024C"
"9371",172.93,"0647001C"
"9372",141.13,"0647002C"
"9373",144.12,"0647003C"
"9374",315.46,"0647004C"
"9375",NA,"0647005C"
"9376",1062.23,"0647006C"
"9377",1172.2,"0647007C"
"9378",262.06,"0647008C"
"9379",0,"0647009C"
"9380",1197.09,"0647010C"
"9381",440.79,"0647011C"
"9382",0,"0647012C"
"9383",0,"0647013C"
"9384",262.06,"0647014C"
"9385",0,"0647015C"
"9386",0,"0647016C"
"9387",496.67,"0647017C"
"9388",985.72,"0647019C"
"9389",0,"0647020C"
"9390",1233.75,"0647021C"
"9391",911.76,"0647022C"
"9392",325.83,"0647023C"
"9393",0,"0647024C"
"9394",0,"0649001C"
"9395",NA,"0649002C"
"9396",NA,"0649003C"
"9397",NA,"0649004C"
"9398",NA,"0649005C"
"9399",NA,"0649006C"
"9400",346.92,"0649007C"
"9401",NA,"0649008C"
"9402",NA,"0649009C"
"9403",239.78,"0649010C"
"9404",234.35,"0649012C"
"9405",NA,"0649013C"
"9406",NA,"0649014C"
"9407",244.84,"0649015C"
"9408",NA,"0649016C"
"9409",0,"0649017C"
"9410",NA,"0649018C"
"9411",NA,"0649019C"
"9412",NA,"0649020C"
"9413",NA,"0649021C"
"9414",NA,"0649022C"
"9415",360.17,"0649023C"
"9416",NA,"0649024C"
"9417",NA,"0649025C"
"9418",NA,"0650001C"
"9419",NA,"0650002C"
"9420",0,"0650003C"
"9421",775.72,"0650004C"
"9422",450.24,"0650005C"
"9423",600,"0650006C"
"9424",NA,"0650007C"
"9425",NA,"0650009C"
"9426",361.17,"0650010C"
"9427",NA,"0650011C"
"9428",NA,"0650012C"
"9429",NA,"0650013C"
"9430",NA,"0650014C"
"9431",456.85,"0650015C"
"9432",NA,"0650016C"
"9433",462.3,"0650017C"
"9434",651.42,"0650018C"
"9435",483.45,"0650019C"
"9436",NA,"0650020C"
"9437",NA,"0650021C"
"9438",445.29,"0650022C"
"9439",439.71,"0650023C"
"9440",NA,"0650024C"
"9441",NA,"0651001C"
"9442",82.2,"0651002C"
"9443",222.29,"0651003C"
"9444",287.23,"0651004C"
"9445",262.19,"0651005C"
"9446",235.21,"0651006C"
"9447",0,"0651007C"
"9448",NA,"0651008C"
"9449",200.58,"0651009C"
"9450",0,"0651010C"
"9451",374.72,"0651011C"
"9452",204.84,"0651013C"
"9453",247.01,"0651014C"
"9454",226.01,"0651015C"
"9455",235.21,"0651016C"
"9456",NA,"0651017C"
"9457",200.58,"0651020C"
"9458",262.19,"0651021C"
"9459",200.58,"0651022C"
"9460",262.19,"0651023C"
"9461",213.16,"0651024C"
"9462",131.67,"0652001C"
"9463",NA,"0652002C"
"9464",NA,"0652003C"
"9465",242.92,"0652004C"
"9466",220.17,"0652005C"
"9467",229.11,"0652006C"
"9468",215.59,"0652007C"
"9469",0,"0652008C"
"9470",0,"0652009C"
"9471",NA,"0652010C"
"9472",NA,"0652011C"
"9473",NA,"0652012C"
"9474",269.94,"0652013C"
"9475",234.74,"0652014C"
"9476",396.4,"0652015C"
"9477",NA,"0652016C"
"9478",NA,"0652017C"
"9479",233.98,"0652018C"
"9480",NA,"0652019C"
"9481",0,"0652020C"
"9482",NA,"0652021C"
"9483",215.59,"0652022C"
"9484",0,"0652023C"
"9485",NA,"0652024C"
"9486",0,"0653001C"
"9487",278.06,"0653002C"
"9488",968.27,"0653003C"
"9489",0,"0653004C"
"9490",816.87,"0653005C"
"9491",319.6,"0653006C"
"9492",283.97,"0653007C"
"9493",0,"0653008C"
"9494",826.79,"0653009C"
"9495",0,"0653010C"
"9496",319.6,"0653011C"
"9497",0,"0653012C"
"9498",1020.84,"0653013C"
"9499",1020.84,"0653014C"
"9500",283.97,"0653015C"
"9501",948.14,"0653016C"
"9502",1042.52,"0653017C"
"9503",881.34,"0653018C"
"9504",0,"0653019C"
"9505",836.92,"0653020C"
"9506",0,"0653021C"
"9507",927.62,"0653022C"
"9508",968.27,"0653023C"
"9509",273.6,"0654001C"
"9510",441.38,"0654002C"
"9511",NA,"0654003C"
"9512",NA,"0654004C"
"9513",NA,"0654005C"
"9514",274.49,"0654006C"
"9515",NA,"0654007C"
"9516",NA,"0654008C"
"9517",NA,"0654009C"
"9518",NA,"0654010C"
"9519",328.63,"0654011C"
"9520",263.16,"0654012C"
"9521",NA,"0654013C"
"9522",262.78,"0654014C"
"9523",262.78,"0654015C"
"9524",NA,"0654016C"
"9525",0,"0654017C"
"9526",NA,"0654018C"
"9527",NA,"0654019C"
"9528",NA,"0654020C"
"9529",NA,"0654021C"
"9530",276.93,"0654022C"
"9531",0,"0654023C"
"9532",NA,"0654024C"
"9533",273.6,"0654025C"
"9534",NA,"0657001C"
"9535",NA,"0657002C"
"9536",NA,"0657003C"
"9537",NA,"0657004C"
"9538",NA,"0657005C"
"9539",NA,"0657006C"
"9540",NA,"0657007C"
"9541",NA,"0657008C"
"9542",NA,"0657009C"
"9543",0,"0657010C"
"9544",NA,"0657011C"
"9545",NA,"0657012C"
"9546",NA,"0657013C"
"9547",386.95,"0657014C"
"9548",NA,"0657015C"
"9549",NA,"0657016C"
"9550",NA,"0657017C"
"9551",NA,"0657018C"
"9552",386.95,"0657019C"
"9553",NA,"0657020C"
"9554",NA,"0657021C"
"9555",NA,"0657022C"
"9556",417.97,"0657023C"
"9557",0,"0657024C"
"9558",0,"0659001C"
"9559",1046.8,"0659002C"
"9560",904.26,"0659003C"
"9561",265.75,"0659004C"
"9562",358.41,"0659005C"
"9563",0,"0659006C"
"9564",0,"0659007C"
"9565",275.26,"0659008C"
"9566",975.63,"0659009C"
"9567",350.64,"0659010C"
"9568",282.28,"0659011C"
"9569",257.1,"0659012C"
"9570",0,"0659013C"
"9571",0,"0659014C"
"9572",0,"0659015C"
"9573",307.81,"0659016C"
"9574",392.36,"0659017C"
"9575",0,"0659018C"
"9576",1049.57,"0659019C"
"9577",314.35,"0659021C"
"9578",446.06,"0659022C"
"9579",1167.01,"0659023C"
"9580",1049.57,"0659024C"
"9581",373.91,"0660001C"
"9582",0,"0660002C"
"9583",0,"0660003C"
"9584",963.57,"0660004C"
"9585",783,"0660005C"
"9586",654.93,"0660007C"
"9587",797.34,"0660008C"
"9588",928.12,"0660009C"
"9589",0,"0660010C"
"9590",921.18,"0660011C"
"9591",0,"0660012C"
"9592",0,"0660013C"
"9593",0,"0660014C"
"9594",752.03,"0660015C"
"9595",0,"0660016C"
"9596",767.33,"0660017C"
"9597",0,"0660018C"
"9598",728.08,"0660019C"
"9599",NA,"0660020C"
"9600",NA,"0660021C"
"9601",NA,"0660022C"
"9602",732.85,"0660023C"
"9603",0,"0660024C"
"9604",NA,"0660025C"
"9605",873.96,"0661001C"
"9606",0,"0661002C"
"9607",0,"0661003C"
"9608",248.21,"0661004C"
"9609",769.35,"0661005C"
"9610",0,"0661007C"
"9611",0,"0661008C"
"9612",0,"0661009C"
"9613",354.99,"0661010C"
"9614",0,"0661011C"
"9615",328.58,"0661012C"
"9616",786.36,"0661013C"
"9617",0,"0661014C"
"9618",0,"0661015C"
"9619",926.62,"0661016C"
"9620",0,"0661017C"
"9621",0,"0661018C"
"9622",886.12,"0661019C"
"9623",404.42,"0661020C"
"9624",0,"0661021C"
"9625",0,"0661022C"
"9626",288.61,"0661023C"
"9627",0,"0661024C"
"9628",0,"0662001C"
"9629",0,"0662002C"
"9630",NA,"0662003C"
"9631",0,"0662004C"
"9632",NA,"0662005C"
"9633",0,"0662006C"
"9634",175.24,"0662007C"
"9635",138.21,"0662008C"
"9636",NA,"0662009C"
"9637",NA,"0662010C"
"9638",291.25,"0662011C"
"9639",138.21,"0662012C"
"9640",135.34,"0662013C"
"9641",182.36,"0662014C"
"9642",138.21,"0662015C"
"9643",NA,"0662016C"
"9644",NA,"0662017C"
"9645",127.35,"0662018C"
"9646",130.05,"0662019C"
"9647",127.35,"0662020C"
"9648",NA,"0662021C"
"9649",160.34,"0662022C"
"9650",127.35,"0662023C"
"9651",135.34,"0662024C"
"9652",127.35,"0662025C"
"9653",NA,"0663001C"
"9654",113.37,"0663002C"
"9655",0,"0663003C"
"9656",425.71,"0663004C"
"9657",107.01,"0663005C"
"9658",109.28,"0663006C"
"9659",120.58,"0663007C"
"9660",109.27,"0663008C"
"9661",NA,"0663009C"
"9662",0,"0663010C"
"9663",125.19,"0663011C"
"9664",0,"0663012C"
"9665",102.83,"0663013C"
"9666",521.95,"0663014C"
"9667",0,"0663015C"
"9668",144.19,"0663016C"
"9669",0,"0663017C"
"9670",0,"0663018C"
"9671",159.69,"0664001C"
"9672",0,"0664002C"
"9673",0,"0664003C"
"9674",243.84,"0664004C"
"9675",280.21,"0664005C"
"9676",0,"0664006C"
"9677",209.06,"0664007C"
"9678",283.55,"0664008C"
"9679",0,"0664009C"
"9680",200.15,"0664010C"
"9681",0,"0664011C"
"9682",0,"0664012C"
"9683",731.41,"0664013C"
"9684",0,"0664014C"
"9685",200.15,"0664015C"
"9686",0,"0664017C"
"9687",0,"0664018C"
"9688",0,"0664020C"
"9689",0,"0664021C"
"9690",0,"0664022C"
"9691",0,"0664023C"
"9692",65.06,"0665001C"
"9693",56.18,"0665002C"
"9694",NA,"0665003C"
"9695",197.55,"0665004C"
"9696",193.44,"0665005C"
"9697",0,"0665006C"
"9698",210.63,"0665007C"
"9699",209.95,"0665008C"
"9700",627.34,"0665009C"
"9701",197.55,"0665010C"
"9702",754.74,"0665011C"
"9703",0,"0665012C"
"9704",846.55,"0665013C"
"9705",794.4,"0665014C"
"9706",205.58,"0665015C"
"9707",0,"0665016C"
"9708",193.44,"0665017C"
"9709",0,"0665018C"
"9710",205.58,"0665019C"
"9711",193.44,"0665020C"
"9712",0,"0665021C"
"9713",710.18,"0665022C"
"9714",865.27,"0665023C"
"9715",197.55,"0665024C"
"9716",65.06,"0665025C"
"9717",193.44,"0665026C"
"9718",205.58,"0665027C"
"9719",111.41,"0666001C"
"9720",952.85,"0666002C"
"9721",805.27,"0666003C"
"9722",0,"0666004C"
"9723",253.94,"0666005C"
"9724",0,"0666006C"
"9725",0,"0666007C"
"9726",NA,"0666008C"
"9727",0,"0666009C"
"9728",247.38,"0666010C"
"9729",0,"0666011C"
"9730",843.28,"0666012C"
"9731",0,"0666013C"
"9732",275.76,"0666014C"
"9733",0,"0666015C"
"9734",341.52,"0666016C"
"9735",0,"0666017C"
"9736",NA,"0666018C"
"9737",724.75,"0666020C"
"9738",NA,"0666021C"
"9739",NA,"0666022C"
"9740",823.08,"0666023C"
"9741",0,"0666024C"
"9742",86.04,"0667001C"
"9743",224.03,"0667002C"
"9744",NA,"0667003C"
"9745",0,"0667004C"
"9746",0,"0667005C"
"9747",354,"0667006C"
"9748",NA,"0667007C"
"9749",361.51,"0667008C"
"9750",224.03,"0667009C"
"9751",237.53,"0667010C"
"9752",269.16,"0667011C"
"9753",NA,"0667012C"
"9754",228.79,"0667014C"
"9755",NA,"0667015C"
"9756",NA,"0667016C"
"9757",243.15,"0667017C"
"9758",NA,"0667018C"
"9759",297.84,"0667019C"
"9760",NA,"0667020C"
"9761",NA,"0667021C"
"9762",268.27,"0667022C"
"9763",268.3,"0667023C"
"9764",NA,"0667024C"
"9765",NA,"0668001C"
"9766",0,"0668002C"
"9767",85.23,"0668003C"
"9768",74.39,"0668004C"
"9769",NA,"0668005C"
"9770",NA,"0668006C"
"9771",NA,"0668007C"
"9772",NA,"0668008C"
"9773",0,"0668009C"
"9774",72.86,"0668010C"
"9775",84.52,"0668011C"
"9776",0,"0668012C"
"9777",NA,"0668013C"
"9778",68.55,"0668014C"
"9779",NA,"0668015C"
"9780",0,"0668016C"
"9781",74.4,"0668017C"
"9782",70.01,"0668018C"
"9783",NA,"0668019C"
"9784",0,"0668020C"
"9785",NA,"0668022C"
"9786",NA,"0668023C"
"9787",NA,"0668024C"
"9788",0,"0669001C"
"9789",232.37,"0669002C"
"9790",0,"0669003C"
"9791",215.75,"0669004C"
"9792",0,"0669005C"
"9793",832.76,"0669006C"
"9794",0,"0669008C"
"9795",226.81,"0669009C"
"9796",0,"0669010C"
"9797",191.46,"0669011C"
"9798",191.46,"0669013C"
"9799",191.46,"0669014C"
"9800",743.04,"0669015C"
"9801",284.67,"0669016C"
"9802",180.16,"0669017C"
"9803",711.84,"0669018C"
"9804",0,"0669019C"
"9805",745.75,"0669020C"
"9806",231.62,"0669021C"
"9807",215.75,"0669022C"
"9808",822.33,"0669023C"
"9809",195.53,"0669024C"
"9810",129.17,"0671001C"
"9811",301.35,"0671002C"
"9812",80.91,"0671003C"
"9813",0,"0671004C"
"9814",0,"0671005C"
"9815",259.92,"0671006C"
"9816",93.87,"0671007C"
"9817",293.59,"0671008C"
"9818",266.07,"0671009C"
"9819",84.38,"0671010C"
"9820",77.75,"0671011C"
"9821",0,"0671012C"
"9822",276.23,"0671013C"
"9823",91.47,"0671014C"
"9824",107.24,"0671015C"
"9825",0,"0671016C"
"9826",77.75,"0671017C"
"9827",76.14,"0671018C"
"9828",104.77,"0671019C"
"9829",0,"0671020C"
"9830",NA,"0673001C"
"9831",0,"0673002C"
"9832",NA,"0673003C"
"9833",NA,"0673004C"
"9834",240.57,"0673005C"
"9835",335.26,"0673006C"
"9836",0,"0673007C"
"9837",NA,"0673008C"
"9838",NA,"0673009C"
"9839",NA,"0673010C"
"9840",NA,"0673011C"
"9841",0,"0673012C"
"9842",NA,"0673013C"
"9843",NA,"0673014C"
"9844",NA,"0673015C"
"9845",NA,"0673016C"
"9846",NA,"0673017C"
"9847",NA,"0673018C"
"9848",NA,"0673019C"
"9849",0,"0673020C"
"9850",NA,"0673021C"
"9851",NA,"0673022C"
"9852",0,"0673023C"
"9853",NA,"0673024C"
"9854",NA,"0676002C"
"9855",NA,"0676003C"
"9856",270.93,"0676004C"
"9857",NA,"0676005C"
"9858",0,"0676006C"
"9859",333.77,"0676007C"
"9860",0,"0676008C"
"9861",NA,"0676009C"
"9862",NA,"0676010C"
"9863",NA,"0676011C"
"9864",NA,"0676012C"
"9865",NA,"0676013C"
"9866",381.43,"0676014C"
"9867",NA,"0676015C"
"9868",NA,"0676017C"
"9869",NA,"0676018C"
"9870",241.4,"0676019C"
"9871",NA,"0676020C"
"9872",261.96,"0676022C"
"9873",NA,"0676023C"
"9874",NA,"0677001C"
"9875",NA,"0677002C"
"9876",NA,"0677003C"
"9877",NA,"0677004C"
"9878",NA,"0677005C"
"9879",NA,"0677006C"
"9880",NA,"0677007C"
"9881",NA,"0677008C"
"9882",0,"0678001C"
"9883",0,"0678002C"
"9884",265.94,"0678003C"
"9885",0,"0678004C"
"9886",215.08,"0678005C"
"9887",0,"0678006C"
"9888",0,"0678007C"
"9889",745.39,"0678008C"
"9890",0,"0678009C"
"9891",0,"0678010C"
"9892",759.07,"0678012C"
"9893",332.24,"0678013C"
"9894",0,"0678014C"
"9895",0,"0678015C"
"9896",261.91,"0678016C"
"9897",789.6,"0678017C"
"9898",0,"0678018C"
"9899",0,"0678019C"
"9900",0,"0678020C"
"9901",0,"0678021C"
"9902",259.12,"0678022C"
"9903",210.6,"0678023C"
"9904",198.17,"0678024C"
"9905",NA,"0680001C"
"9906",298.07,"0680002C"
"9907",0,"0680003C"
"9908",0,"0680004C"
"9909",0,"0680005C"
"9910",376.51,"0680006C"
"9911",1187.66,"0680007C"
"9912",0,"0680008C"
"9913",367.49,"0680009C"
"9914",1225.43,"0680010C"
"9915",1336.08,"0680011C"
"9916",1187.66,"0680012C"
"9917",0,"0680013C"
"9918",NA,"0680014C"
"9919",1238.66,"0680015C"
"9920",0,"0680016C"
"9921",558.66,"0680017C"
"9922",550.99,"0680018C"
"9923",1210.65,"0680019C"
"9924",0,"0680020C"
"9925",0,"0680021C"
"9926",304.4,"0680022C"
"9927",0,"0680023C"
"9928",1265.5,"0680024C"
"9929",0,"0680025C"
"9930",0,"0682001C"
"9931",676.77,"0682002C"
"9932",686.81,"0682003C"
"9933",0,"0682004C"
"9934",646.85,"0682005C"
"9935",786.23,"0682007C"
"9936",747.82,"0682008C"
"9937",NA,"0683001C"
"9938",NA,"0683002C"
"9939",NA,"0683003C"
